"","x"
"267",2735.2696529684
"268",5906.72323604464
"269",8968.56484528077
"270",15899.0896166743
"271",6089.29402175028
"272",6021.23555616921
"273",9799.63991937323
"274",5699.58531047589
"275",5697.56141814863
"276",5674.91999428853
"277",5313.43797341608
"278",2284.14683970759
"279",2719.49005478103
"280",6421.25142881421
"281",2375.40900881831
"282",5661.08650146091
"283",5800.55689345214
"284",2149.7940125413
"285",6220.37056913602
"286",12401.4477169349
"287",2557.14896151091
"288",5764.68844121388
"289",2685.15534395737
"290",5939.64063314
"291",2762.97981269801
"292",8864.27844974742
"293",2394.52165661376
"294",9024.43118446229
"295",2444.05519941583
"296",1865.13144734953
"297",9265.25077769766
"298",5708.60123616642
"299",2681.27904961664
"300",2473.59908301787
